matchup,winner,moves,minimax_nodes,minimax_depth,avg_time_agent1,avg_time_agent2,win_type,memory_mb,avg_branching_factor,avg_heuristic_delta
random_vs_smart,agent1,15,,,0.0,0.00036,diagonal,171.96,,
random_vs_smart,agent2,22,,,0.0,0.00034,diagonal,171.96,,
random_vs_smart,agent2,30,,,0.0,0.00029,diagonal,171.96,,
random_vs_smart,agent2,24,,,0.0,0.00031,vertical,171.96,,
random_vs_smart,agent1,19,,,0.0,0.00036,vertical,171.96,,
random_vs_smart,agent2,14,,,0.0,0.0003,diagonal,171.96,,
random_vs_smart,agent2,28,,,0.0,0.00033,vertical,171.96,,
random_vs_smart,agent2,18,,,0.0,0.0003,diagonal,171.96,,
random_vs_smart,agent2,24,,,0.0,0.00035,diagonal,171.96,,
random_vs_smart,agent2,14,,,0.0,0.00029,vertical,171.96,,
random_vs_smart,agent2,14,,,0.0,0.00032,horizontal,171.96,,
random_vs_smart,agent2,24,,,0.0,0.00028,diagonal,171.96,,
random_vs_smart,agent2,12,,,0.0,0.0003,diagonal,171.96,,
random_vs_smart,agent2,28,,,0.0,0.00029,vertical,171.96,,
random_vs_smart,agent2,26,,,0.0,0.00032,diagonal,171.96,,
random_vs_smart,agent2,30,,,0.0,0.00047,horizontal,171.96,,
random_vs_smart,agent2,8,,,0.0,0.00078,horizontal,171.96,,
random_vs_smart,agent2,28,,,0.0,0.00064,diagonal,171.96,,
random_vs_smart,agent2,16,,,0.0,0.0005,vertical,171.96,,
random_vs_smart,agent1,23,,,0.0,0.00053,diagonal,171.96,,
random_vs_smart,agent2,24,,,0.0,0.00039,horizontal,171.96,,
random_vs_smart,agent2,8,,,0.0,0.00029,horizontal,171.96,,
random_vs_smart,agent2,12,,,0.0,0.0003,vertical,171.96,,
random_vs_smart,agent2,16,,,0.0,0.00039,horizontal,171.96,,
random_vs_smart,agent2,26,,,0.0,0.00044,diagonal,171.96,,
random_vs_smart,agent2,26,,,0.0,0.00031,diagonal,171.96,,
random_vs_smart,agent2,16,,,0.0,0.0003,vertical,171.96,,
random_vs_smart,agent2,22,,,0.0,0.00031,vertical,171.96,,
random_vs_smart,agent2,26,,,0.0,0.00027,diagonal,171.96,,
random_vs_smart,agent2,20,,,0.0,0.0003,diagonal,171.96,,
random_vs_smart,agent2,12,,,0.0,0.00028,vertical,171.96,,
random_vs_smart,agent2,10,,,0.0,0.00028,vertical,171.96,,
random_vs_smart,draw,42,,,0.0,0.00025,draw,171.96,,
random_vs_smart,agent1,21,,,0.0,0.00031,diagonal,171.96,,
random_vs_smart,agent2,12,,,0.0,0.00029,vertical,171.96,,
random_vs_smart,agent2,12,,,0.0,0.00027,vertical,171.96,,
random_vs_smart,agent2,18,,,0.0,0.00028,horizontal,171.96,,
random_vs_smart,agent2,18,,,0.0,0.00031,vertical,171.96,,
random_vs_smart,agent1,21,,,0.0,0.00029,diagonal,171.96,,
random_vs_smart,agent2,12,,,0.0,0.00027,horizontal,171.96,,
random_vs_smart,agent2,14,,,0.0,0.00027,vertical,171.96,,
random_vs_smart,agent2,26,,,0.0,0.00028,horizontal,171.96,,
random_vs_smart,agent1,11,,,0.0,0.00028,horizontal,171.96,,
random_vs_smart,agent2,18,,,0.0,0.0003,vertical,171.96,,
random_vs_smart,agent2,26,,,0.0,0.00027,diagonal,171.96,,
random_vs_smart,agent2,24,,,0.0,0.00028,vertical,171.96,,
random_vs_smart,agent2,24,,,0.0,0.00029,diagonal,171.96,,
random_vs_smart,agent2,32,,,0.0,0.00025,horizontal,171.96,,
random_vs_smart,agent2,8,,,0.0,0.00026,horizontal,171.96,,
random_vs_smart,agent2,8,,,0.0,0.00026,horizontal,171.96,,
random_vs_smart,agent2,14,,,0.0,0.00029,vertical,171.96,,
random_vs_smart,agent2,34,,,0.0,0.00029,horizontal,171.96,,
random_vs_smart,agent2,20,,,0.0,0.00028,horizontal,171.96,,
random_vs_smart,agent1,29,,,0.0,0.00032,diagonal,171.96,,
random_vs_smart,agent2,14,,,0.0,0.00028,vertical,171.96,,
random_vs_smart,agent2,14,,,0.0,0.00029,horizontal,171.96,,
random_vs_smart,agent2,20,,,0.0,0.00028,vertical,171.96,,
